Red,Green,Blue,Gray,Index,Intensity,Temperature,Depth
249,0,109,0,9,87,9.029,3
255,2,144,2,19,94,18.061,2.25
249,0,191,0,19,96,18.061,2
253,7,82,7,20,89,18.965,0.75
255,6,121,6,9,94,9.029,3
241,8,14,8,13,78,12.642,2.25
255,60,62,60,5,119,5.4161,2
248,15,36,15,29,87,27.094,0.75
246,0,108,0,9,86,9.029,3
255,2,144,2,9,94,9.029,2.25
249,0,192,0,18,96,17.158,2
253,6,84,6,21,89,19.868,0.75
255,5,121,5,9,93,9.029,3
244,11,17,11,13,81,12.642,2.25
255,71,68,68,5,126,5.4161,2
252,14,37,14,8,88,8.1258,0.75
248,0,109,0,3,87,3.6097,3
254,4,140,4,8,94,8.1258,2.25
249,0,196,0,26,97,24.384,2
252,5,83,5,21,88,19.868,0.75
255,7,123,7,8,94,8.1258,3
243,10,16,10,23,80,21.674,2.25
255,69,67,67,5,124,5.4161,2
253,17,37,17,9,90,9.029,0.75
248,0,109,0,3,87,3.6097,3
254,4,140,4,8,94,8.1258,2.25
251,0,204,0,22,98,20.771,2
253,6,84,6,20,89,18.965,0.75
255,5,124,5,8,93,8.1258,3
244,11,17,11,24,81,22.577,2.25
255,66,62,62,5,122,5.4161,2
253,15,39,15,14,89,13.545,0.75
249,0,113,0,24,87,22.577,3
252,4,140,4,10,94,9.9323,2.25
249,0,204,0,20,98,18.965,2
253,5,89,5,11,89,10.835,0.75
255,5,124,5,10,93,9.9323,3
242,9,13,9,23,79,21.674,2.25
255,66,69,66,6,123,6.3194,2
250,10,35,10,3,85,3.6097,0.75
248,0,113,0,25,87,23.481,3
252,4,144,4,9,94,9.029,2.25
248,0,207,0,20,98,18.965,2
252,4,90,4,22,88,20.771,0.75
255,4,127,4,25,93,23.481,3
242,7,12,7,7,78,7.2226,2.25
255,61,67,61,6,120,6.3194,2
253,10,38,10,8,86,8.1258,0.75
248,0,113,0,3,87,3.6097,3
254,3,145,3,8,94,8.1258,2.25
250,0,212,0,23,99,21.674,2
253,5,91,5,22,89,20.771,0.75
